213000047	213000046	[[126.8554445,37.4790957],[126.8554876,37.4790815],[126.8556169,37.4790399],[126.8557213,37.4790071],[126.8559423,37.4789443],[126.8559888,37.478931],[126.8560308,37.4789177],[126.8569219,37.4786639]]
111000177	111901143	[[126.9227882,37.5903198],[126.922812,37.5906165],[126.9228247,37.5907265],[126.9228407,37.5908564],[126.9229234,37.5914381],[126.9229265,37.5914805],[126.922965,37.5919251]]
120000017	120000241	[[126.9207193,37.4828499],[126.9206892,37.4829399],[126.9211365,37.4830178],[126.9213014,37.4830511],[126.9213104,37.4830529],[126.9215871,37.4831075],[126.9220761,37.4832072],[126.922398,37.4832683],[126.9227006,37.483331],[126.9227492,37.4833412],[126.922948,37.4833782],[126.9233683,37.4834416],[126.9254292,37.4837292],[126.9256766,37.4837584],[126.9258721,37.4837818],[126.9260281,37.4837961],[126.9262542,37.4838171],[126.9264746,37.4838416],[126.9265232,37.4838472],[126.9265706,37.4838537],[126.9268735,37.4838859],[126.9269571,37.4838953],[126.927269,37.4839374],[126.9274295,37.4839553]]
226000092	226000091	[[126.9670644,37.3376428],[126.9674937,37.337917],[126.967786,37.3380923],[126.9684231,37.338517],[126.9694254,37.3391804],[126.96954,37.3392575],[126.9695479,37.3392639],[126.9696634,37.3393653],[126.9697284,37.339444],[126.9697866,37.3395164],[126.9699614,37.3398525],[126.9699793,37.3398859],[126.9701306,37.3401976],[126.9701507,37.3402373],[126.9701585,37.3402527],[126.9702241,37.3403873],[126.9702976,37.34054]]
110000138	110000136	[[127.0666959,37.6642914],[127.0666991,37.6643248],[127.0668297,37.6642901],[127.0668865,37.6642741],[127.0670035,37.6642331],[127.0671217,37.6641911],[127.0672297,37.6641411],[127.0676118,37.6639496],[127.0677869,37.6638583],[127.0679746,37.663758],[127.0687242,37.6631497],[127.0688814,37.6630213],[127.0689566,37.6629576],[127.0690705,37.6628598],[127.0691788,37.6627674]]
103000116	103000115	[[127.0714104,37.5553002],[127.07122,37.5549525],[127.0711998,37.5549164],[127.0711606,37.5548432],[127.0711471,37.554817],[127.0711146,37.5547583],[127.0710866,37.5547113],[127.0709991,37.5545659],[127.0708343,37.5542922],[127.0707244,37.5541097],[127.0706728,37.5540248],[127.070389,37.5535533],[127.070278,37.5533672],[127.0702365,37.5532994],[127.0701872,37.5532082],[127.0701626,37.5531631],[127.0701245,37.5530908],[127.0700786,37.5530068],[127.0697234,37.5523574],[127.0695867,37.5521082],[127.0694758,37.5519059]]
103900056	103900267	[[127.0239912,37.5528607],[127.0240559,37.5528357],[127.0241161,37.5528107],[127.0244225,37.5526857],[127.0247507,37.5525338],[127.0250487,37.5523169],[127.0251341,37.5522406],[127.025318,37.5519872],[127.0253483,37.5518359],[127.0255579,37.5510967],[127.0255789,37.5509994],[127.025707,37.5509774],[127.0257614,37.5509659],[127.0262116,37.5506748],[127.0264474,37.5506135],[127.0264872,37.5505993],[127.0264912,37.5506786],[127.0264991,37.550858],[127.0264747,37.550958],[127.0264244,37.5510416],[127.0263242,37.5511331],[127.0262093,37.5512192],[127.0260784,37.5513178],[127.0260155,37.5514293],[127.0260097,37.551441],[127.0259418,37.5517968],[127.0259242,37.5518914],[127.0258751,37.5519624],[127.0258591,37.5519839],[127.0257908,37.5520468],[127.0254882,37.5522835],[127.0254427,37.5523086],[127.0252272,37.5523654],[127.0250219,37.5524322],[127.0247507,37.5525338],[127.0244225,37.5526857],[127.0241161,37.5528107],[127.0240559,37.5528357],[127.0238493,37.5529169],[127.0237824,37.5529427],[127.0234748,37.5530578],[127.023375,37.5530925],[127.0231912,37.5531558],[127.0231118,37.5531825],[127.0228147,37.5532471],[127.0227116,37.5532665],[127.022605,37.5532895],[127.0221414,37.5533823]]
124000109	124000111	[[127.1427464,37.5408906],[127.1420025,37.5409325],[127.1413718,37.540972],[127.1412189,37.5409842],[127.1409596,37.5410023],[127.1405429,37.5410317],[127.1404512,37.5410386],[127.1400096,37.5410553],[127.1398749,37.5410621]]
123000183	123000180	[[127.1448724,37.4942787],[127.1448243,37.4941749],[127.1446619,37.4938165],[127.144587,37.4936342],[127.1445244,37.4934826],[127.144511,37.4934465],[127.1444129,37.4933642],[127.1443994,37.4933534],[127.1442888,37.4933061],[127.144221,37.4932888],[127.1441622,37.4932787],[127.1440819,37.4932722],[127.1440197,37.4932765],[127.1438997,37.4932915],[127.1437364,37.4933748],[127.1433373,37.4935665],[127.1426874,37.493916],[127.142591,37.4939689]]
119000114	120000446	[[126.9122541,37.4875015],[126.9122766,37.4875115],[126.9124209,37.4875798],[126.9124999,37.4876082],[126.9125315,37.4876137],[126.9126117,37.4876313],[126.9126241,37.487634],[126.9126705,37.4876297],[126.9127,37.4876128],[126.9127252,37.4875786],[126.9127457,37.4875571],[126.913012,37.4873565],[126.9132124,37.4871827],[126.9132318,37.4871683],[126.9133024,37.4871083],[126.9133194,37.487094],[126.9134094,37.487016],[126.9135478,37.4871041],[126.9135613,37.4871132],[126.9137054,37.487204],[126.9141039,37.4874566],[126.9142243,37.4875329],[126.914428,37.4876619],[126.914589,37.4877628]]
